st,stf
ND,38
SD,46
NE,31
OK,40
SD,46
CT,9
TX,48
KS,20
GA,13
IA,19
IL,17
IN,18
IN,18
IL,17
SC,45
PA,42
TX,48
NE,31
IA,19
IL,17
NM,35
FL,12
ID,16
IL,17
IL,17
IL,17
FL,12
TX,48
ND,38
MN,27
ND,38
MO,29
IL,17
TX,48
GA,13
OK,40
GA,13
NE,31
GA,13
TX,48
ND,38
NJ,34
TX,48
MA,25
ME,23
IL,17
ND,38
PA,42
FL,12
FL,12
FL,12
SC,45
GA,13
LA,22
TX,48
TX,48
FL,12
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
TX,48
LA,22
CO,8
KS,20
KS,20
NE,31
NE,31
KS,20
KS,20
KS,20
NE,31
KS,20
KS,20
KS,20
KS,20
MN,27
KS,20
NE,31
OK,40
TX,48
NE,31
TX,48
OK,40
MA,25
MA,25
MA,25
KS,20
KS,20
MO,29
MO,29
MO,29
MO,29
MA,25
AL,1
GA,13
HI,15
OK,40
OK,40
OK,40
AR,5
OK,40
AR,5
LA,22
AR,5
MO,29
AR,5
KY,21
TN,47
TN,47
TN,47
TN,47
NC,37
MS,28
MS,28
AL,1
TX,48
FL,12
